month,year,days,use,mean_temp,owner,energy_remodel
1,2011,34,393,14,Kimura,before
2,2011,29,316,17,Kimura,before
3,2011,28,290,17,Kimura,before
4,2011,33,225,30,Kimura,before
5,2011,29,119,41,Kimura,before
6,2011,30,78,51,Kimura,before
7,2011,32,63,56,Kimura,before
8,2011,29,52,58,Kimura,before
9,2011,31,75,54,Kimura,before
10,2011,31,120,46,Kimura,before
11,2011,25,161,34,Kimura,before
12,2011,31,330,16,Kimura,before
1,2012,31,327,18,Kimura,before
2,2012,27,362,4,Kimura,before
3,2012,33,303,24,Kimura,before
4,2012,32,211,24,Kimura,before
5,2012,27,87,40,Kimura,before
6,2012,34,90,47,Kimura,before
7,2012,29,48,55,Kimura,before
8,2012,27,111,55,Kimura,before
9,2012,30,73,56,Kimura,before
10,2012,33,11,48,Kimura,before
11,2012,35,203,30,Kimura,before
12,2012,28,283,15,Kimura,before
1,2013,37,368,18,Kimura,before
2,2013,27,241,21,Kimura,before
3,2013,28,219,25,Kimura,before
4,2013,28,194,24,Kimura,before
5,2013,36,189,30,Kimura,before
6,2013,26,78,43,Kimura,before
7,2013,28,43,60,Kimura,before
8,2013,36,51,61,Kimura,before
9,2013,28,65,54,Kimura,before
10,2013,35,128,46,Kimura,before
11,2013,28,123,41,Kimura,before
12,2013,27,228,16,Kimura,before
1,2014,35,307,18,Kimura,before
2,2014,27,184,29,Kimura,before
3,2014,32,266,20,Thompson,before
4,2014,27,130,28,Thompson,before
5,2014,28,89,39,Thompson,before
6,2014,34,34,51,Thompson,before
7,2014,29,30,55,Thompson,before
8,2014,29,23,59,Thompson,after foam board and blown fiber
9,2014,33,32,57,Thompson,after foam board and blown fiber
10,2014,29,45,48,Thompson,after foam board and blown fiber
11,2014,29,110,33,Thompson,after foam board and blown fiber
12,2014,33,147,30,Thompson,after foam board and blown fiber
1,2015,42,227,29,Thompson,after foam board and blown fiber
2,2015,26,171,14,Thompson,after foam board and blown fiber
3,2015,28,120,30,Thompson,after foam board and blown fiber
4,2015,28,114,28,Thompson,after foam board and blown fiber
5,2015,35,69,42,Thompson,after foam board and blown fiber
6,2015,28,21,52,Thompson,after foam board and blown fiber
7,2015,29,21,60,Thompson,after foam board and blown fiber
8,2015,34,23,60,Thompson,after foam board and blown fiber
9,2015,25,16,54,Thompson,after foam board and blown fiber
10,2015,38,67,44,Thompson,after foam board and blown fiber
